,Country,Flag,Path,Folder,WebPath
37,Denmark,Denmark.png,assets/flags_new/png-1024/Denmark.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Denmark.png
38,Czech,Czech.png,assets/flags_new/png-1024/Czech.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Czech.png
39,Monaco,Monaco.png,assets/flags_new/png-1024/Monaco.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Monaco.png
40,Germany,Germany.png,assets/flags_new/png-1024/Germany.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Germany.png
41,Nauru,Nauru.png,assets/flags_new/png-1024/Nauru.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Nauru.png
42,Burundi,Burundi.png,assets/flags_new/png-1024/Burundi.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Burundi.png
43,Guam,Guam.png,assets/flags_new/png-1024/Guam.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Guam.png
44,Bermuda,Bermuda.png,assets/flags_new/png-1024/Bermuda.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Bermuda.png
45,Thailand,Thailand.png,assets/flags_new/png-1024/Thailand.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Thailand.png
46,Antigua,Antigua.png,assets/flags_new/png-1024/Antigua.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Antigua.png
47,Hong,Hong.png,assets/flags_new/png-1024/Hong.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Hong.png
48,Anguilla,Anguilla.png,assets/flags_new/png-1024/Anguilla.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Anguilla.png
49,Qatar,Qatar.png,assets/flags_new/png-1024/Qatar.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Qatar.png
50,Lebanon,Lebanon.png,assets/flags_new/png-1024/Lebanon.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Lebanon.png
51,Japan,Japan.png,assets/flags_new/png-1024/Japan.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Japan.png
52,South,South.png,assets/flags_new/png-1024/South.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/South.png
53,Estonia,Estonia.png,assets/flags_new/png-1024/Estonia.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Estonia.png
54,Kazakhstan,Kazakhstan.png,assets/flags_new/png-1024/Kazakhstan.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Kazakhstan.png
55,Palau,Palau.png,assets/flags_new/png-1024/Palau.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Palau.png
56,Fiji,Fiji.png,assets/flags_new/png-1024/Fiji.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Fiji.png
57,Bonaire,Bonaire.png,assets/flags_new/png-1024/Bonaire.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Bonaire.png
58,South-25625,South-25625.png,assets/flags_new/png-1024/South-25625.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/South-25625.png
59,Puerto,Puerto.png,assets/flags_new/png-1024/Puerto.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Puerto.png
60,Heard,Heard.png,assets/flags_new/png-1024/Heard.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Heard.png
61,Iran,Iran.png,assets/flags_new/png-1024/Iran.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Iran.png
62,Georgia,Georgia.png,assets/flags_new/png-1024/Georgia.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Georgia.png
63,Trinidad,Trinidad.png,assets/flags_new/png-1024/Trinidad.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Trinidad.png
64,Guernsey,Guernsey.png,assets/flags_new/png-1024/Guernsey.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Guernsey.png
65,Scotland,Scotland.png,assets/flags_new/png-1024/Scotland.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Scotland.png
66,Greece,Greece.png,assets/flags_new/png-1024/Greece.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Greece.png
67,French,French.png,assets/flags_new/png-1024/French.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/French.png
68,Togo,Togo.png,assets/flags_new/png-1024/Togo.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Togo.png
69,Nicaragua,Nicaragua.png,assets/flags_new/png-1024/Nicaragua.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Nicaragua.png
70,Libya,Libya.png,assets/flags_new/png-1024/Libya.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Libya.png
71,South-23047,South-23047.png,assets/flags_new/png-1024/South-23047.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/South-23047.png
72,Hungary,Hungary.png,assets/flags_new/png-1024/Hungary.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Hungary.png
73,French-69271,French-69271.png,assets/flags_new/png-1024/French-69271.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/French-69271.png
74,Colombia,Colombia.png,assets/flags_new/png-1024/Colombia.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Colombia.png
75,Romania,Romania.png,assets/flags_new/png-1024/Romania.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Romania.png
76,Panama,Panama.png,assets/flags_new/png-1024/Panama.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Panama.png
